timestep,lane_id,queueing_time,queueing_length,queueing_length_experimental
60.00,E2C_1,1.00,8.80,8.80
60.00,E2C_2,2.00,24.21,24.21
60.00,E2C_3,0.00,0.00,12.24
60.00,N2C_2,3.00,3.22,3.22
60.00,S2C_0,3.00,3.21,3.21
60.00,W2C_2,6.00,14.20,14.20
60.00,W2C_3,0.00,0.00,20.39
120.00,E2C_0,4.00,3.21,3.21
120.00,E2C_2,3.00,3.20,3.20
120.00,N2C_0,0.00,0.00,7.54
120.00,N2C_1,45.00,26.21,26.21
120.00,N2C_2,44.00,25.01,25.01
120.00,N2C_3,49.00,31.51,36.12
120.00,S2C_0,59.00,30.81,30.81
120.00,S2C_1,55.00,51.71,51.71
120.00,S2C_2,52.00,43.99,47.23
120.00,S2C_3,33.00,10.20,10.20
120.00,W2C_1,1.00,5.52,5.52
180.00,E2C_0,47.00,34.71,34.71
180.00,E2C_1,47.00,20.20,20.20
180.00,E2C_2,50.00,21.11,21.11
180.00,E2C_3,38.00,12.80,12.80
180.00,N2C_1,3.00,3.20,6.95
180.00,N2C_2,1.00,3.23,3.23
180.00,N2C_3,1.00,3.21,31.21
180.00,S2C_1,4.00,3.20,3.20
180.00,S2C_2,4.00,5.50,8.76
180.00,W2C_0,33.00,13.40,13.40
180.00,W2C_1,50.00,28.61,31.97
180.00,W2C_2,56.00,38.71,38.71
180.00,W2C_3,49.00,35.01,35.01
240.00,E2C_2,0.00,0.00,3.20
240.00,E2C_3,4.00,10.51,10.51
240.00,N2C_0,33.00,9.60,9.60
240.00,N2C_1,57.00,43.01,43.01
240.00,N2C_2,50.00,41.51,41.51
240.00,N2C_3,59.00,36.61,36.61
240.00,S2C_0,38.00,25.22,25.22
240.00,S2C_1,59.00,42.31,46.86
240.00,S2C_2,60.00,44.61,44.61
240.00,S2C_3,36.00,17.20,17.20
240.00,W2C_3,28.00,42.65,42.65
300.00,E2C_0,35.00,35.11,35.11
300.00,E2C_1,40.00,26.41,26.41
300.00,E2C_2,44.00,25.10,25.10
300.00,E2C_3,64.00,31.61,31.61
300.00,N2C_2,2.00,5.50,5.50
300.00,N2C_3,12.00,22.16,26.90
300.00,S2C_2,2.00,5.52,5.52
300.00,W2C_0,32.00,29.00,29.00
300.00,W2C_1,50.00,43.61,43.61
300.00,W2C_2,47.00,42.52,42.52
300.00,W2C_3,54.00,42.11,45.57
360.00,E2C_0,2.00,3.26,3.26
360.00,E2C_3,41.00,30.15,30.15
360.00,N2C_0,49.00,54.81,54.81
360.00,N2C_1,43.00,22.70,22.70
360.00,N2C_2,40.00,18.90,18.90
360.00,N2C_3,72.00,48.11,48.11
360.00,S2C_0,49.00,30.61,30.61
360.00,S2C_1,52.00,40.41,40.41
360.00,S2C_2,47.00,43.11,43.11
360.00,W2C_2,0.00,0.00,3.23
360.00,W2C_3,2.00,6.45,9.74
420.00,:Center_7_0,56.00,8.10,8.10
420.00,:Center_11_0,0.00,0.00,11.57
420.00,E2C_0,27.00,10.90,10.90
420.00,E2C_1,44.00,34.11,34.11
420.00,E2C_2,46.00,34.01,34.01
420.00,E2C_3,51.00,54.21,54.21
420.00,N2C_0,3.00,3.20,3.20
420.00,N2C_1,59.00,50.22,50.22
420.00,N2C_2,59.00,49.21,49.21
420.00,N2C_3,3.00,19.17,25.90
420.00,S2C_2,1.00,3.27,3.27
420.00,W2C_0,39.00,27.70,27.70
420.00,W2C_1,54.00,28.11,28.11
420.00,W2C_2,54.00,28.31,28.31
420.00,W2C_3,61.00,58.91,58.91
480.00,:Center_7_0,0.00,0.00,10.59
480.00,E2C_0,1.00,13.00,13.00
480.00,E2C_3,3.00,25.74,56.84
480.00,N2C_0,40.00,21.91,25.36
480.00,N2C_1,119.00,88.71,88.71
480.00,N2C_2,119.00,92.82,92.82
480.00,N2C_3,58.00,45.51,45.51
480.00,S2C_0,27.00,18.00,25.03
480.00,S2C_1,55.00,35.91,35.91
480.00,S2C_2,43.00,36.41,36.41
480.00,S2C_3,53.00,29.81,29.81
480.00,W2C_1,0.00,0.00,5.82
480.00,W2C_2,4.00,5.50,5.50
480.00,W2C_3,3.00,38.40,56.53
540.00,E2C_0,58.00,51.91,51.91
