id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_N_peak_m.1,3.00,N2C_0,2.30,0.00,0.00,78.00,C2S_0,483.20,15.47,75.00,997.70,0.00,0,0.00,10.12,0,tripinfo_f_N_peak_m.1,motorcycle,1.12,
f_S_peak_m.0,0.00,S2C_0,2.30,0.00,0.00,84.00,C2E_1,483.20,12.64,84.00,993.77,0.00,0,0.00,12.77,0,tripinfo_f_S_peak_m.0,motorcycle,1.01,
f_S_peak_m.3,9.00,S2C_0,2.30,0.00,0.00,88.00,C2N_0,483.20,13.14,79.00,997.70,0.00,0,0.00,9.12,0,tripinfo_f_S_peak_m.3,motorcycle,1.04,
f_N_peak_m.2,6.00,N2C_0,4.60,0.00,0.00,90.00,C2S_0,483.20,12.40,84.00,995.40,0.00,0,0.00,7.53,0,tripinfo_f_N_peak_m.2,car,0.94,
f_N_peak_m.0,0.00,N2C_0,2.30,0.00,0.00,93.00,C2E_0,483.20,12.30,93.00,973.13,0.00,0,0.00,12.84,0,tripinfo_f_N_peak_m.0,motorcycle,0.89,
f_N_peak_m.3,9.00,N2C_0,2.30,0.00,0.00,93.00,C2S_1,483.20,12.40,84.00,997.70,0.00,0,0.00,10.25,0,tripinfo_f_N_peak_m.3,motorcycle,0.97,
f_N_peak_m.4,12.00,N2C_0,4.60,0.00,0.00,95.00,C2S_0,483.20,12.49,83.00,995.40,0.00,0,0.00,6.66,0,tripinfo_f_N_peak_m.4,car,0.95,
f_E_peak_m.6,19.00,E2C_0,4.60,0.00,1.00,95.00,C2S_1,483.20,15.26,76.00,970.83,0.00,0,0.00,11.90,0,tripinfo_f_E_peak_m.6,car,1.10,
f_S_peak_m.1,3.00,S2C_0,2.30,0.00,0.00,96.00,C2N_0,483.20,12.41,93.00,997.70,0.00,0,0.00,12.64,0,tripinfo_f_S_peak_m.1,motorcycle,0.90,
f_S_peak_m.2,6.00,S2C_0,2.30,0.00,0.00,96.00,C2E_1,483.20,13.23,90.00,993.77,7.00,2,0.00,23.96,0,tripinfo_f_S_peak_m.2,motorcycle,1.10,
f_E_peak_m.0,0.00,E2C_0,4.60,0.00,0.00,98.00,C2W_0,483.20,15.14,98.00,995.40,20.00,1,0.00,32.06,0,tripinfo_f_E_peak_m.0,car,1.09,
f_E_peak_m.2,7.00,E2C_0,4.60,0.00,1.00,100.00,C2W_1,483.20,13.60,93.00,995.40,9.00,1,0.00,22.43,0,tripinfo_f_E_peak_m.2,car,1.02,
f_E_peak_m.7,23.00,E2C_0,4.60,0.00,2.00,102.00,C2W_2,483.20,13.94,79.00,995.40,0.00,0,0.00,13.28,0,tripinfo_f_E_peak_m.7,car,1.09,
