timestep,lane_id,queueing_time,queueing_length,queueing_length_experimental
60.00,:Center_3_0,2.00,5.51,5.51
60.00,E2C_0,1.00,5.51,5.51
60.00,E2C_1,10.00,5.50,8.71
60.00,E2C_2,0.00,0.00,19.19
60.00,W2C_1,6.00,9.00,9.00
60.00,W2C_3,10.00,13.00,20.39
120.00,:Center_7_0,8.00,3.10,3.10
120.00,:Center_11_0,3.00,17.80,17.80
120.00,E2C_0,2.00,3.20,3.20
120.00,E2C_1,8.00,4.00,7.26
120.00,E2C_2,9.00,6.40,6.40
120.00,N2C_1,5.00,8.75,8.75
120.00,N2C_2,8.00,13.28,13.28
120.00,N2C_3,0.00,0.00,7.83
120.00,W2C_0,5.00,3.20,3.20
120.00,W2C_1,10.00,20.00,20.00
120.00,W2C_2,10.00,13.00,13.00
180.00,:Center_7_0,0.00,0.00,11.01
180.00,:Center_11_0,0.00,0.00,12.55
180.00,E2C_0,4.00,13.00,13.00
180.00,E2C_3,9.00,2.77,2.77
180.00,N2C_1,65.00,52.32,52.32
180.00,N2C_2,68.00,45.31,48.62
180.00,N2C_3,0.00,0.00,16.20
180.00,S2C_2,0.00,0.00,17.32
180.00,W2C_1,7.00,22.16,29.51
180.00,W2C_2,5.00,13.02,20.36
180.00,W2C_3,4.00,5.50,5.50
240.00,:Center_7_0,6.00,6.30,6.30
240.00,:Center_15_0,7.00,15.30,12.10
240.00,E2C_3,0.00,0.00,3.30
240.00,N2C_1,15.00,43.87,59.45
240.00,N2C_2,16.00,41.55,56.34
240.00,N2C_3,11.00,5.50,5.50
240.00,S2C_1,12.00,11.91,11.91
240.00,S2C_2,13.00,18.90,18.90
240.00,S2C_3,4.00,5.50,5.50
240.00,W2C_1,4.00,59.93,59.93
240.00,W2C_2,6.00,57.75,57.75
300.00,E2C_3,1.00,2.70,2.70
300.00,N2C_0,13.00,7.70,7.70
300.00,N2C_1,12.00,61.57,69.07
300.00,N2C_2,13.00,27.69,58.25
300.00,N2C_3,15.00,7.35,7.35
300.00,S2C_0,5.00,10.20,10.20
300.00,S2C_1,6.00,10.20,10.20
300.00,S2C_2,14.00,5.33,5.33
300.00,W2C_1,1.00,52.57,68.16
300.00,W2C_2,3.00,64.68,64.68
360.00,:Center_7_0,5.00,5.54,5.54
360.00,N2C_0,14.00,20.24,20.24
360.00,N2C_1,11.00,38.82,53.61
360.00,N2C_2,13.00,48.23,48.23
360.00,N2C_3,14.00,5.50,5.50
360.00,S2C_0,6.00,3.20,3.20
360.00,S2C_1,9.00,7.22,14.30
360.00,S2C_2,13.00,8.70,8.70
360.00,W2C_1,0.00,0.00,77.51
360.00,W2C_2,7.00,66.69,82.17
420.00,:Center_7_0,3.00,11.62,11.62
420.00,:Center_15_0,6.00,16.32,9.31
420.00,N2C_0,14.00,30.62,30.62
420.00,N2C_1,13.00,26.70,30.46
420.00,N2C_2,15.00,35.21,35.21
420.00,N2C_3,9.00,3.20,3.20
420.00,S2C_0,11.00,6.41,6.41
420.00,S2C_1,9.00,7.21,15.41
420.00,S2C_2,11.00,13.00,13.00
420.00,S2C_3,0.00,0.00,5.64
420.00,W2C_2,0.00,0.00,45.30
420.00,W2C_3,1.00,6.26,13.81
480.00,:Center_7_0,0.00,0.00,9.99
480.00,:Center_15_0,0.00,0.00,2.33
480.00,E2C_1,6.00,5.52,9.12
480.00,E2C_2,7.00,7.84,7.84
480.00,N2C_0,1.00,13.00,13.00
480.00,N2C_1,9.00,10.91,45.88
480.00,N2C_2,8.00,31.97,39.27
480.00,N2C_3,0.00,0.00,3.27
480.00,S2C_0,1.00,5.52,5.52
480.00,S2C_1,23.00,34.21,34.21
480.00,S2C_2,26.00,33.81,33.81
480.00,S2C_3,9.00,3.20,3.20
480.00,W2C_1,10.00,60.08,60.08
480.00,W2C_2,12.00,51.71,51.71
540.00,:Center_7_0,29.00,14.81,11.60
540.00,:Center_15_0,0.00,0.00,8.63
540.00,E2C_3,1.00,8.49,15.76
540.00,N2C_1,20.00,44.08,44.08
540.00,N2C_2,20.00,47.03,47.03
540.00,N2C_3,0.00,0.00,20.18
540.00,S2C_1,7.00,27.43,27.43
540.00,S2C_2,6.00,15.17,52.19
540.00,W2C_1,35.00,59.51,59.51
540.00,W2C_2,34.00,55.01,55.01
600.00,:Center_3_0,6.00,7.80,7.80
600.00,E2C_0,6.00,11.00,11.00
600.00,E2C_1,15.00,12.52,16.56
600.00,E2C_2,16.00,9.00,12.21
600.00,E2C_3,6.00,35.10,35.10
600.00,N2C_1,72.00,79.39,82.59
600.00,N2C_2,69.00,78.94,78.94
600.00,N2C_3,0.00,0.00,12.76
600.00,W2C_0,10.00,10.20,10.20
600.00,W2C_1,12.00,27.95,39.43
600.00,W2C_2,15.00,39.36,72.50
600.00,W2C_3,7.00,5.50,12.93
660.00,:Center_3_0,0.00,0.00,2.42
660.00,:Center_11_0,0.00,0.00,3.15
660.00,E2C_1,5.00,5.50,9.10
660.00,E2C_2,10.00,13.00,13.00
660.00,E2C_3,13.00,27.93,27.93
660.00,N2C_1,12.00,73.17,76.46
660.00,N2C_2,7.00,79.04,79.04
660.00,S2C_1,0.00,0.00,14.64
660.00,S2C_2,0.00,0.00,17.26
660.00,W2C_1,14.00,34.75,58.61
660.00,W2C_2,12.00,35.32,49.57
660.00,W2C_3,6.00,17.24,24.49
720.00,:Center_3_0,0.00,0.00,7.55
720.00,:Center_11_0,20.00,15.30,12.10
720.00,E2C_0,6.00,4.00,4.00
720.00,E2C_1,9.00,6.42,6.42
720.00,E2C_2,10.00,3.20,3.20
720.00,E2C_3,10.00,18.64,23.39
720.00,N2C_1,28.00,82.74,82.74
720.00,N2C_2,26.00,81.62,81.62
720.00,N2C_3,4.00,11.60,15.04
720.00,W2C_1,24.00,113.31,113.31
720.00,W2C_2,24.00,108.88,108.88
720.00,W2C_3,16.00,11.65,11.65
780.00,:Center_3_0,2.00,12.10,12.10
780.00,:Center_11_0,1.00,2.30,2.30
780.00,E2C_1,8.00,5.50,5.50
780.00,E2C_2,8.00,5.50,5.50
780.00,E2C_3,12.00,23.20,23.20
780.00,N2C_1,10.00,74.56,74.56
780.00,N2C_2,10.00,70.89,78.28
780.00,S2C_3,0.00,0.00,3.29
780.00,W2C_0,2.00,3.20,3.20
780.00,W2C_1,8.00,101.23,116.81
780.00,W2C_2,12.00,116.50,119.80
780.00,W2C_3,8.00,17.43,17.43
840.00,E2C_2,5.00,4.00,4.00
840.00,E2C_3,2.00,10.29,21.18
840.00,N2C_0,6.00,15.70,15.70
840.00,N2C_1,16.00,66.62,81.12
840.00,N2C_2,15.00,52.52,82.05
840.00,N2C_3,18.00,15.25,15.25
840.00,S2C_1,14.00,28.91,28.91
840.00,S2C_2,15.00,29.11,29.11
