id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_E_peak_m.0,0.00,E2C_0,4.60,0.00,0.00,72.00,C2W_0,483.20,14.19,72.00,995.40,0.00,0,0.00,6.24,0,tripinfo_f_E_peak_m.0,car,1.09,
f_W_peak_m.0,0.00,W2C_0,4.60,0.00,0.00,85.00,C2E_0,483.20,12.77,85.00,995.40,0.00,0,0.00,6.52,0,tripinfo_f_W_peak_m.0,car,0.92,
f_E_peak_m.1,3.00,E2C_0,12.10,0.00,0.00,88.00,C2N_1,483.20,13.81,85.00,983.97,0.00,0,0.00,13.07,0,tripinfo_f_E_peak_m.1,bus,1.00,
f_W_peak_m.1,3.00,W2C_0,2.30,0.00,0.00,88.00,C2E_0,483.20,11.98,85.00,997.70,0.00,0,0.00,9.03,0,tripinfo_f_W_peak_m.1,motorcycle,0.95,
f_N_peak_m.1,3.00,N2C_0,2.30,0.00,0.00,90.00,C2S_0,483.20,14.11,87.00,997.70,5.00,1,0.00,22.89,0,tripinfo_f_N_peak_m.1,motorcycle,1.12,
f_S_peak_m.3,9.00,S2C_0,2.30,0.00,0.00,92.00,C2N_1,483.20,14.25,83.00,997.70,0.00,0,0.00,13.83,0,tripinfo_f_S_peak_m.3,motorcycle,1.04,
f_N_peak_m.2,6.00,N2C_0,4.60,0.00,0.00,95.00,C2S_0,483.20,11.93,89.00,995.40,0.00,0,0.00,12.42,0,tripinfo_f_N_peak_m.2,car,0.94,
f_S_peak_m.1,3.00,S2C_0,2.30,0.00,0.00,97.00,C2N_0,483.20,12.20,94.00,997.70,0.00,0,0.00,13.46,0,tripinfo_f_S_peak_m.1,motorcycle,0.90,
f_N_peak_m.4,12.00,N2C_0,4.60,0.00,0.00,97.00,C2S_1,483.20,12.09,85.00,995.40,0.00,0,0.00,9.01,0,tripinfo_f_N_peak_m.4,car,0.95,
f_N_peak_m.0,0.00,N2C_0,2.30,0.00,0.00,98.00,C2E_0,483.20,11.63,98.00,973.13,0.00,0,0.00,17.61,0,tripinfo_f_N_peak_m.0,motorcycle,0.89,
f_N_peak_m.3,9.00,N2C_0,2.30,0.00,0.00,98.00,C2S_0,483.20,12.28,89.00,997.70,0.00,0,0.00,14.56,0,tripinfo_f_N_peak_m.3,motorcycle,0.97,
f_N_peak_m.5,15.00,N2C_0,2.30,0.00,0.00,98.00,C2S_2,483.20,12.88,83.00,997.70,0.00,0,0.00,10.66,0,tripinfo_f_N_peak_m.5,motorcycle,1.01,
f_S_peak_m.4,12.00,S2C_0,2.30,0.00,0.00,99.00,C2W_0,483.20,12.94,87.00,973.13,0.00,0,0.00,13.01,0,tripinfo_f_S_peak_m.4,motorcycle,0.96,
f_N_peak_m.6,18.00,N2C_0,3.10,0.00,0.00,99.00,C2E_1,483.20,13.33,81.00,972.33,0.00,0,0.00,10.97,0,tripinfo_f_N_peak_m.6,rickshaw,1.02,
f_S_peak_m.0,0.00,S2C_0,2.30,0.00,0.00,101.00,C2E_1,483.20,13.94,101.00,993.77,12.00,2,0.00,29.40,0,tripinfo_f_S_peak_m.0,motorcycle,1.01,
f_S_peak_m.2,6.00,S2C_0,2.30,0.00,0.00,102.00,C2E_2,483.20,14.31,96.00,993.77,4.00,2,0.00,29.63,0,tripinfo_f_S_peak_m.2,motorcycle,1.10,
f_S_peak_m.6,18.00,S2C_0,4.60,0.00,0.00,102.00,C2W_0,483.20,12.66,84.00,970.83,0.00,0,0.00,8.68,0,tripinfo_f_S_peak_m.6,car,0.94,
f_S_peak_m.5,15.00,S2C_0,4.60,0.00,0.00,103.00,C2N_0,483.20,11.83,88.00,995.40,0.00,0,0.00,7.02,0,tripinfo_f_S_peak_m.5,car,0.89,
f_E_peak_m.6,19.00,E2C_0,4.60,0.00,1.00,103.00,C2S_0,483.20,14.62,84.00,970.83,6.00,1,0.00,19.67,0,tripinfo_f_E_peak_m.6,car,1.10,
f_E_peak_m.2,7.00,E2C_0,4.60,0.00,1.00,107.00,C2W_0,483.20,13.81,100.00,995.40,15.00,1,0.00,28.81,0,tripinfo_f_E_peak_m.2,car,1.02,
f_E_peak_m.7,23.00,E2C_0,4.60,0.00,2.00,108.00,C2W_2,483.20,14.70,85.00,995.40,4.00,1,0.00,18.95,0,tripinfo_f_E_peak_m.7,car,1.09,
f_W_peak_m.3,11.00,W2C_0,8.10,0.00,2.00,110.00,C2E_0,483.20,13.43,99.00,991.90,11.00,1,0.00,26.15,0,tripinfo_f_W_peak_m.3,truck,0.99,
f_E_peak_m.4,12.00,E2C_0,2.30,0.00,0.00,111.00,C2W_0,483.20,10.64,99.00,997.70,4.00,1,0.00,21.65,0,tripinfo_f_E_peak_m.4,motorcycle,0.93,
f_W_peak_m.6,18.00,W2C_0,12.10,0.00,0.00,111.00,C2E_1,483.20,13.72,93.00,987.90,4.00,1,0.00,21.07,0,tripinfo_f_W_peak_m.6,bus,1.00,
f_E_peak_m.5,15.00,E2C_0,12.10,0.00,0.00,112.00,C2W_2,483.20,13.84,97.00,987.90,4.00,1,0.00,25.73,0,tripinfo_f_E_peak_m.5,bus,1.00,
f_W_peak_m.8,24.00,W2C_0,2.30,0.00,0.00,113.00,C2E_2,483.20,14.70,89.00,997.70,0.00,0,0.00,21.22,0,tripinfo_f_W_peak_m.8,motorcycle,1.06,
f_E_peak_m.9,27.00,E2C_0,8.10,0.00,0.00,113.00,C2W_1,483.20,13.76,86.00,991.90,0.00,0,0.00,14.16,0,tripinfo_f_E_peak_m.9,truck,1.00,
f_E_peak_m.8,24.00,E2C_0,4.60,0.00,0.00,114.00,C2S_0,483.20,10.99,90.00,970.83,0.00,0,0.00,9.24,0,tripinfo_f_E_peak_m.8,car,0.88,
f_W_peak_m.9,27.00,W2C_0,12.10,0.00,0.00,114.00,C2E_1,483.20,13.66,87.00,987.90,0.00,0,0.00,15.56,0,tripinfo_f_W_peak_m.9,bus,1.00,
f_E_peak_m.10,31.00,E2C_0,4.60,0.00,1.00,114.00,C2W_3,483.20,13.94,83.00,995.40,0.00,0,0.00,12.81,0,tripinfo_f_E_peak_m.10,car,1.02,
f_W_peak_m.7,22.00,W2C_0,4.60,0.00,1.00,115.00,C2E_0,483.20,11.92,93.00,995.40,1.00,1,0.00,15.78,0,tripinfo_f_W_peak_m.7,car,0.93,
f_W_peak_m.10,30.00,W2C_0,2.30,0.00,0.00,117.00,C2E_2,483.20,13.16,87.00,997.70,0.00,0,0.00,14.28,0,tripinfo_f_W_peak_m.10,motorcycle,1.00,
f_E_peak_m.12,36.00,E2C_0,2.30,0.00,0.00,117.00,C2N_1,483.20,13.46,81.00,993.77,0.00,0,0.00,10.52,0,tripinfo_f_E_peak_m.12,motorcycle,1.02,
f_E_peak_m.11,33.00,E2C_0,4.60,0.00,0.00,118.00,C2W_1,483.20,12.42,85.00,995.40,0.00,0,0.00,11.53,0,tripinfo_f_E_peak_m.11,car,0.99,
f_E_peak_m.3,9.00,E2C_0,2.30,0.00,0.00,120.00,C2W_0,483.20,9.83,111.00,997.70,6.00,1,0.00,23.30,0,tripinfo_f_E_peak_m.3,motorcycle,0.83,
f_N_peak_m.11,33.00,N2C_0,2.30,0.00,0.00,120.00,C2S_0,483.20,13.51,87.00,997.70,5.00,1,0.00,22.60,0,tripinfo_f_N_peak_m.11,motorcycle,1.12,
f_S_peak_m.13,39.00,S2C_0,2.30,0.00,0.00,120.00,C2W_1,483.20,14.83,81.00,973.13,0.00,0,0.00,17.52,0,tripinfo_f_S_peak_m.13,motorcycle,1.12,
f_N_peak_m.14,42.00,N2C_0,2.30,0.00,0.00,123.00,C2S_1,483.20,14.23,81.00,997.70,0.00,0,0.00,14.01,0,tripinfo_f_N_peak_m.14,motorcycle,1.09,
f_S_peak_m.17,51.00,S2C_0,2.30,0.00,0.00,124.00,C2W_1,483.20,15.15,73.00,973.13,0.00,0,0.00,10.33,0,tripinfo_f_S_peak_m.17,motorcycle,1.14,
f_W_peak_m.2,6.00,W2C_0,12.10,0.00,0.00,125.00,C2S_1,483.20,13.73,119.00,983.97,24.00,2,0.00,46.93,0,tripinfo_f_W_peak_m.2,bus,1.00,
f_S_peak_m.10,30.00,S2C_0,2.30,0.00,0.00,125.00,C2W_0,483.20,11.64,95.00,973.13,4.00,1,0.00,19.81,0,tripinfo_f_S_peak_m.10,motorcycle,0.94,
